Category Name,Name,Gross Sales,Sold
Pho,P1. Pho Dac Biet,"$27,823.50",1975
Pho,P4. Pho Tai,"$17,562.50",1283
Pho,P14. Pho Ga,"$12,645.00",920
Pho,P2. Pho Tai Nam Gau,"$6,898.00",502
Pho,P5. Pho Chin,"$5,899.50",429
Pho,P6. Pho Chin Nam Gau,"$5,330.50",383
Pho,P10. Pho Tai Gau,"$4,708.00",336
Pho,P12. Pho Tai Bo Vien,"$4,262.50",307
Pho,P13. Pho Bo Vien,"$2,363.70",197
Pho,P3. Pho Tai Nam Gan,"$1,611.50",117
Pho,P7. Pho Chin Nam Gan,"$1,524.00",110
Pho,P9. Pho Tai Nam,"$1,357.50",99
Pho,P8. Pho Tai Gan,$927.50,67
Pho,P11. Pho Tai Sach,$588.50,43
Rice,C1. Com Thit Nuong Trung Op La,"$13,449.50",1021
Rice,C4. Com Chien,"$4,210.80",304
Rice,C3. Con Chien Duong Chau,"$3,854.80",264
Rice,C2. Com Ga Nuong,"$3,541.00",270
Appetizer,A2. Goi Cuon,"$7,272.45",1311
Appetizer,A1. Cha Gio,"$6,179.95",1361
Appetizer,A6. Grilled Pork Banh Mi,"$4,867.65",647
Appetizer,A3. Goi Cuon Chay,"$1,267.20",256
Appetizer,A4.  Banh Mi Bo Kho,$810.75,85
Appetizer,Canh Ga Chien Nuoc Mam,$310.80,24
Appetizer,Side Of Pho Broth,$100.00,40
Bun/ Vermicelli,B1. Bun Tom Thit Nuong Cha Gio,"$8,717.50",565
Bun/ Vermicelli,B2. Bun Thit Nuong,"$2,788.50",211
Bun/ Vermicelli,B6. Bun Ga Nuong,"$1,909.00",144
Bun/ Vermicelli,B5. Bun Chay,"$1,780.55",149
Bun/ Vermicelli,B3. Bun Tom Nuong,"$1,294.00",98
Bun/ Vermicelli,B4. Bun Cha Gio,$671.50,51
Noodle Soup,K3. Bun Bo Hue,"$10,975.40",700
Noodle Soup,K1. Hu Tieu Bo Kho,"$3,639.00",246
Stir Fry,S3. Hu Tieu Xao,"$6,647.15",477
Stir Fry,S2. Rao Cai Xao,"$2,453.20",176
Stir Fry,S1. Ga Xao Xa Ot,"$1,502.50",110
