Category Name,Name,Gross Sales,Sold
Pho,P1. Pho Dac Biet,"$11,726.50",819
Pho,P4. Pho Tai,"$7,799.50",549
Pho,P14. Pho Ga,"$5,615.50",397
Pho,P5. Pho Chin,"$3,096.50",219
Pho,P6. Pho Chin Nam Gau,"$2,952.00",208
Pho,P2. Pho Tai Nam Gau,"$2,858.00",200
Pho,P10. Pho Tai Gau,"$2,247.00",158
Pho,P12. Pho Tai Bo Vien,"$1,936.50",135
Pho,P13. Pho Bo Vien,"$1,099.25",98
Pho,P7. Pho Chin Nam Gan,$670.50,47
Pho,P3. Pho Tai Nam Gan,$605.00,42
Pho,P9. Pho Tai Nam,$471.50,33
Pho,P11. Pho Tai Sach,$330.00,24
Pho,P8. Pho Tai Gan,$311.00,22
Rice,C1. Com Thit Nuong Trung Op La,"$5,629.50",417
Rice,C4. Com Chien,"$2,464.40",172
Rice,C2. Com Ga Nuong,"$2,038.50",151
Rice,C3. Con Chien Duong Chau,"$1,674.40",112
Appetizer,A1. Cha Gio,"$3,163.05",639
Appetizer,A2. Goi Cuon,"$3,004.75",505
Appetizer,A6. Grilled Pork Banh Mi,"$1,725.15",217
Appetizer,A4.  Banh Mi Bo Kho,$447.75,45
Appetizer,A3. Goi Cuon Chay,$381.15,77
Appetizer,Side Of Pho Broth,$87.50,25
Noodle Soup,K3. Bun Bo Hue,"$5,713.00",350
Noodle Soup,K1. Hu Tieu Bo Kho,"$2,898.50",179
Bun/ Vermicelli,B1. Bun Tom Thit Nuong Cha Gio,"$2,928.00",183
Bun/ Vermicelli,B2. Bun Thit Nuong,"$1,336.50",99
Bun/ Vermicelli,B6. Bun Ga Nuong,$850.50,63
Bun/ Vermicelli,B5. Bun Chay,$657.25,55
Bun/ Vermicelli,B3. Bun Tom Nuong,$391.50,29
Bun/ Vermicelli,B4. Bun Cha Gio,$162.00,12
Bun/ Vermicelli,S3. Hu Tieu Xao,"$2,134.50",150
Stir Fry,S2. Rao Cai Xao,"$1,034.30",74
Stir Fry,S1. Ga Xao Xa Ot,$809.10,58
