Category Name,Name,Gross Sales,Sold,year
Pho,P1. Pho Dac Biet,25285.4,1914.0,2019
Pho,P4. Pho Tai,17633.1,1368.0,2019
Pho,P14. Pho Ga,13021.65,1000.0,2019
Pho,P2. Pho Tai Nam Gau,7239.25,553.0,2019
Pho,P5. Pho Chin,6238.15,480.0,2019
Pho,P6. Pho Chin Nam Gau,5753.3,434.0,2019
Pho,P12. Pho Tai Bo Vien,4663.35,357.0,2019
Pho,P10. Pho Tai Gau,4431.85,339.0,2019
Pho,P13. Pho Bo Vien,2670.2,240.0,2019
Pho,P9. Pho Tai Nam,1724.7,134.0,2019
Pho,P3. Pho Tai Nam Gan,1502.6,118.0,2019
Pho,P7. Pho Chin Nam Gan,1487.2,113.0,2019
Pho,P8. Pho Tai Gan,1080.25,83.0,2019
Pho,P11. Pho Tai Sach,711.55,55.0,2019
Rice,C1. Com Thit Nuong Trung Op La,12900.95,1055.0,2019
Rice,C3. Con Chien Duong Chau,4280.0,320.0,2019
Rice,C4. Com Chien,4135.0,320.0,2019
Rice,C2. Com Ga Nuong,3340.6,272.0,2019
Appetizer,A2. Goi Cuon,7410.15,1497.0,2019
Appetizer,A1. Cha Gio,6456.28,1634.5,2019
Appetizer,A6. Grilled Pork Banh Mi,4398.1,678.0,2019
Appetizer,A3. Goi Cuon Chay,1470.15,297.0,2019
Appetizer,A4.  Banh Mi Bo Kho,1378.3,154.0,2019
Appetizer,Side Of Pho Broth,20.0,10.0,2019
Bun/ Vermicelli,B1. Bun Tom Thit Nuong Cha Gio,9564.55,698.0,2019
Bun/ Vermicelli,B2. Bun Thit Nuong,3300.75,270.0,2019
Bun/ Vermicelli,B5. Bun Chay,1923.95,161.0,2019
Bun/ Vermicelli,B6. Bun Ga Nuong,1600.65,131.0,2019
Bun/ Vermicelli,B3. Bun Tom Nuong,1354.65,110.0,2019
Bun/ Vermicelli,B4. Bun Cha Gio,368.4,30.0,2019
Noodle Soup,K3. Bun Bo Hue,10855.75,805.0,2019
Noodle Soup,K1. Hu Tieu Bo Kho,4033.9,305.0,2019
Stir Fry,S3. Hu Tieu Xao,6111.5,471.0,2019
Stir Fry,S2. Rao Cai Xao,1940.4,153.0,2019
Stir Fry,S1. Ga Xao Xa Ot,1872.4,152.0,2019
Pho,P1. Pho Dac Biet,23822.85,1864.0,2020
Pho,P4. Pho Tai,11498.4,912.0,2020
Pho,P2. Pho Tai Nam Gau,6400.55,509.0,2020
Pho,P5. Pho Chin,6107.5,490.0,2020
Pho,P6. Pho Chin Nam Gau,4539.85,363.0,2020
Pho,P12. Pho Tai Bo Vien,4454.25,355.0,2020
Pho,P10. Pho Tai Gau,3567.75,285.0,2020
Pho,P13. Pho Bo Vien,2538.0,240.0,2020
Pho,P14. Pho Ga,1615.45,131.0,2020
Pho,P9. Pho Tai Nam,1382.45,111.0,2020
Pho,P3. Pho Tai Nam Gan,1257.0,100.0,2020
Pho,P7. Pho Chin Nam Gan,1137.4,92.0,2020
Pho,P8. Pho Tai Gan,1008.0,80.0,2020
Pho,P11. Pho Tai Sach,755.0,60.0,2020
Bun/ Vermicelli,B1. Bun Tom Thit Nuong Cha Gio,9673.65,747.0,2020
Bun/ Vermicelli,B3. Bun Tom Nuong,2282.45,191.0,2020
Bun/ Vermicelli,B2. Bun Thit Nuong,2103.2,176.0,2020
Bun/ Vermicelli,B6. Bun Ga Nuong,1828.35,153.0,2020
Bun/ Vermicelli,B5. Bun Chay,1529.6,128.0,2020
Bun/ Vermicelli,B4. Bun Cha Gio,454.1,38.0,2020
Rice,C1. Com Thit Nuong Trung Op La,11483.95,961.0,2020
Rice,C2. Com Ga Nuong,2856.05,239.0,2020
Rice,C3. Con Chien Duong Chau,2188.55,169.0,2020
Appetizer,A3. Goi Cuon,4747.05,959.0,2020
Appetizer,A1. Cha Gio,4503.0,1140.0,2020
Appetizer,A7. Banh Mi Bo Kho,1870.55,209.0,2020
Appetizer,A6. Grilled Pork Banh Mi,856.8,144.0,2020
Appetizer,A4. Goi Cuon Chay,584.1,118.0,2020
Appetizer,Side Of Pho Broth,84.0,42.0,2020
Noodle Soup,K3. Bun Bo Hue,4169.9,322.0,2020
Noodle Soup,K1. Hu Tieu Bo Kho,3807.3,294.0,2020
Pho,P1. Pho Dac Biet,17158.2,1316.0,2021
Pho,P4. Pho Tai,13580.2,1076.0,2021
Pho,P14. Pho Ga,8032.2,636.0,2021
Pho,P2. Pho Tai Nam Gau,5653.95,441.0,2021
Pho,P5. Pho Chin,4398.6,348.0,2021
Pho,P10. Pho Tai Gau,3793.2,296.0,2021
Pho,P12. Pho Tai Bo Vien,3544.15,277.0,2021
Pho,P6. Pho Chin Nam Gau,3199.55,249.0,2021
Pho,P13. Pho Bo Vien,1794.05,159.0,2021
Pho,P3. Pho Tai Nam Gan,1263.05,99.0,2021
Pho,P9. Pho Tai Nam,976.1,78.0,2021
Pho,P8. Pho Tai Gan,906.4,72.0,2021
Pho,P7. Pho Chin Nam Gan,828.7,66.0,2021
Pho,P11. Pho Tai Sach,484.1,38.0,2021
Rice,C3. Con Chien Duong Chau,2590.0,200.0,2021
Rice,C2. Com Ga Nuong,2461.7,206.0,2021
Rice,C1. Com Thit Nuong Trung Op La,12900.95,1055.0,2021
Rice,C4. Com Chien,2330.6,188.0,2021
Appetizer,A3. Goi Cuon,4984.65,1007.0,2021
Appetizer,A1. Cha Gio,4712.35,1193.0,2021
Appetizer,A6. Grilled Pork Banh Mi,2665.6,448.0,2021
Appetizer,A7. Banh Mi Bo Kho,1405.15,157.0,2021
Appetizer,A4. Goi Cuon Chay,1004.85,203.0,2021
Appetizer,Side Of Pho Broth,54.0,27.0,2021
Bun/ Vermicelli,B2. Bun Thit Nuong,2103.2,176.0,2021
Bun/ Vermicelli,B5. Bun Chay,1553.5,130.0,2021
Bun/ Vermicelli,B6. Bun Ga Nuong,1314.5,110.0,2021
Bun/ Vermicelli,B3. Bun Tom Nuong,836.5,70.0,2021
Bun/ Vermicelli,B4. Bun Cha Gio,382.4,32.0,2021
Noodle Soup,K3. Bun Bo Hue,7899.5,610.0,2021
Noodle Soup,K1. Hu Tieu Bo Kho,2434.6,188.0,2021
Stir Fry,S3. Hu Tieu Xao,4525.75,367.0,2021
Stir Fry,S2. Rao Cai Xao,1736.95,141.0,2021
Stir Fry,S1. Ga Xao Xa Ot,1254.75,105.0,2021
Pho,P1. Pho Dac Biet,27823.5,1975.0,2022
Pho,P4. Pho Tai,17562.5,1283.0,2022
Pho,P14. Pho Ga,12645.0,920.0,2022
Pho,P2. Pho Tai Nam Gau,6898.0,502.0,2022
Pho,P5. Pho Chin,5899.5,429.0,2022
Pho,P6. Pho Chin Nam Gau,5330.5,383.0,2022
Pho,P10. Pho Tai Gau,4708.0,336.0,2022
Pho,P12. Pho Tai Bo Vien,4262.5,307.0,2022
Pho,P13. Pho Bo Vien,2363.7,197.0,2022
