Region,Active users
New York,4289
Virginia,1054
Pennsylvania,479
Florida,446
Georgia,419
Ohio,398
Ontario,1980
Michigan,368
North Carolina,330
Indiana,274
Quebec,266
Massachusetts,234
Kentucky,177
South Carolina,171
West Virginia,126
Maine,108
Tennessee,106
Maryland,94
Connecticut,81
New Hampshire,70
Illinois,69
New Jersey,64
Texas,56
California,54
British Columbia,43
Vermont,24
Oregon,23
Delaware,19
Kansas,19
Washington,17
Louisiana,16
Wisconsin,16
Iowa,14
Missouri,12
Alabama,10
Nevada,10
Rhode Island,10
Minnesota,9
Arizona,8
Ho Chi Minh City,8
Oklahoma,8
England,7
Mississippi,7
Idaho,6
Arkansas,5
District of Columbia,5
Jakarta,5
Nebraska,5
Seoul,5
Capital Region of Denmark,4
Chongqing,4
Colorado,4
Maharashtra,4
South Sulawesi,4
Telangana,4
Alberta,3
Federal Territory of Kuala Lumpur,3
Hanoi,3
Lower Silesian Voivodeship,3
North Dakota,3
Odisha,3
South Dakota,3
Utah,3
Budapest,2
Gyeonggi-do,2
Kyiv city,2
Metro Manila,2
Montana,2
New Brunswick,2
North Brabant,2
Primorsky Krai,2
Taipei City,2
Ang Thong,1
Bali,1
Bangkok,1
Brandenburg,1
Busan,1
Central Luzon,1
Chihuahua,1
Daegu,1
Daejeon,1
Dong Nai,1
East Java,1
Francisco Morazan Department,1
Guangdong Province,1
Guatemala Department,1
Guayas,1
Gujarat,1
Gunma,1
Gyeongsangbuk-do,1
Harju County,1
Haryana,1
Hawaii,1
Incheon,1
Kanchanaburi,1
Karnataka,1
Lazio,1
Loei,1
Lower Saxony,1
Luanda Province,1
Madhya Pradesh,1
Nairobi County,1
Newfoundland and Labrador,1
Puntarenas Province,1
Queensland,1
Quintana Roo,1
Rajasthan,1
Region XII,1
Rivers,1
Saint Petersburg,1
San Salvador Department,1
Saskatchewan,1
Scotland,1
Silesian Voivodeship,1
Sindh,1
Sonora,1
South Sumatra,1
State of Amazonas,1
State of Sao Paulo,1
Tamil Nadu,1
Tel Aviv District,1
Victoria,1
West Java,1
West Sumatra,1
Bavaria,0
Davao Region,0
Istanbul,0
Nova Scotia,0
